country,platform,category,chart_type,app_id,app_name,prev_rank,curr_rank,delta_rank,status
US,google_play,books,top_free,com.lemon.lvoverseas,CapCut - Video Editor,10,10,0,unchanged
US,google_play,books,top_free,com.squareup.cash,Cash App,,11,,new
US,google_play,books,top_free,easy.launcher,Easy Homescreen,12,12,0,unchanged
US,google_play,books,top_free,com.whatnot_mobile,"Whatnot: Shop, Sell, Connect",,13,,new
US,google_play,books,top_free,com.tubitv,Tubi: Free Movies & Live TV,14,14,0,unchanged
US,google_play,books,top_free,com.wallpaper.edge.aura,EdgeAura,15,15,0,unchanged
US,google_play,books,top_free,com.facebook.katana,Facebook,,16,,new
US,google_play,books,top_free,com.twitter.android,X,17,17,0,unchanged
US,google_play,books,top_free,com.alibaba.aliexpresshd,AliExpress - Shopping App,18,18,0,unchanged
US,google_play,books,top_free,com.snapchat.android,Snapchat,19,19,0,unchanged
US,google_play,books,top_free,com.microsoft.office.word,Microsoft Word: Edit Documents,20,20,0,unchanged
US,app_store,books,top_paid,com.timbueno.boundapp,Bound - Audiobook Player,,1,,new
US,app_store,books,top_paid,com.kehot.siddur.annotated,Siddur – Annotated Edition,2,2,0,unchanged
US,app_store,books,top_paid,com.cepherapp,Cepher,3,3,0,unchanged
US,app_store,books,top_paid,com.artscroll.SAEEI,ArtScroll Smart Siddur סדור,4,4,0,unchanged
US,app_store,books,top_paid,com.bookmobile.iphone.twentyfourhoursaday,Twenty-Four Hours a Day,5,5,0,unchanged
US,app_store,books,top_paid,com.mirrorword.mirrorbible,Mirror Study Bible,6,6,0,unchanged
US,app_store,books,top_paid,com.equiinkpublications.equine,Equine Anatomy Learning Aid,,7,,new
US,app_store,books,top_paid,com.kehot.siddur.classic,Siddur – Classic Edition,8,8,0,unchanged
US,app_store,books,top_paid,io.rfk.shelfplayer,ShelfPlayer,9,9,0,unchanged
US,app_store,books,top_paid,com.kimicoapps.BookBuddy,BookBuddy Pro: Book Tracker,,10,,new
US,app_store,books,top_paid,com.teachyourmonstertoread.rff,Teach Monster: Reading for Fun,11,11,0,unchanged
US,app_store,books,top_paid,com.oceanhousemedia.BookFoxInSocksDeluxe,Fox in Socks by Dr. Seuss,12,12,0,unchanged
US,app_store,books,top_paid,com.bookmobile.iphone.touchstones,Touchstones,13,13,0,unchanged
US,app_store,books,top_paid,com.MotoJitsu.Books,MotoJitsu,14,14,0,unchanged
US,app_store,books,top_paid,com.playdatedigital.potatohead,Mr. Potato Head: School Rush,15,15,0,unchanged
US,app_store,books,top_paid,com.sephardicsiddur,Sephardic Siddur,16,16,0,unchanged
US,app_store,books,top_paid,com.callawaysesameapp.mateotbipadapp,The Monster at the End...,17,17,0,unchanged
US,app_store,books,top_paid,com.bookmobile.morelanguageoflettinggo,More Language of Letting Go,18,18,0,unchanged
US,app_store,books,top_paid,com.rjgdigitalcreations.arscanner,AR Book Scanner,19,19,0,unchanged
US,app_store,books,top_paid,com.biomsoft.mp3audiobookplayer,MP3 Audiobook Player Pro,20,20,0,unchanged
US,google_play,books,top_paid,com.tdr3.hs.android,HotSchedules,,1,,new
US,google_play,books,top_paid,com.facer.pipboy_se,Fallout Pip-Boy SE Watch Face,2,2,0,unchanged
US,google_play,books,top_paid,com.t11.skyview,SkyView® Explore the Universe,3,3,0,unchanged
US,google_play,books,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),4,4,0,unchanged
US,google_play,books,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,5,5,0,unchanged
US,google_play,books,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,6,6,0,unchanged
US,google_play,books,top_paid,net.dinglisch.android.taskerm,Tasker,7,7,0,unchanged
US,google_play,books,top_paid,com.imageline.FLM,FL STUDIO MOBILE,8,8,0,unchanged
US,google_play,books,top_paid,com.appslab.glass.widgets,Glass Widgets,9,9,0,unchanged
US,google_play,books,top_paid,com.teslacoilsw.launcher.prime,Nova Launcher Prime,10,10,0,unchanged
US,google_play,books,top_paid,com.sonosaurus.tonalenergytuner,TonalEnergy Tuner & Metronome,,11,,new
US,google_play,books,top_paid,com.watchfacestudio.per27,PER27 Digital Watch Face,12,12,0,unchanged
US,google_play,books,top_paid,psplay.grill.com,PXPlay: Remote Play,13,13,0,unchanged
US,google_play,books,top_paid,com.SpottedGhosts.SpiritTalker,Spirit Talker ®,14,14,0,unchanged
US,google_play,books,top_paid,com.wakdev.nfctools.pro,NFC Tools - Pro Edition,15,15,0,unchanged
US,google_play,books,top_paid,com.jndapp.nothing.widgets.pack,Everything Widgets,16,16,0,unchanged
US,google_play,books,top_paid,com.watchfacestudio.md170b,MD170B: Digital watch face,17,17,0,unchanged
US,google_play,books,top_paid,net.esword.esword,e-Sword: Bible Study to Go,18,18,0,unchanged
US,google_play,books,top_paid,com.AlfaOBD.AlfaOBD,AlfaOBD,19,19,0,unchanged
US,google_play,books,top_paid,dev.vodik7.tvquickactions,tvQuickActions Pro,20,20,0,unchanged
US,app_store,books,top_grossing,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
US,app_store,books,top_grossing,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,2,,new
US,app_store,books,top_grossing,com.viz.wsj,Shonen Jump Manga & Comics,,3,,new
US,app_store,books,top_grossing,write.read.story.webnovel.book.anystories,AnyStories-Top Novels & Books,4,4,0,unchanged
US,app_store,books,top_grossing,com.dreame.reader,Dreame - Read Best Romance,5,5,0,unchanged
US,app_store,books,top_grossing,com.scribd.iscribd,Everand: Audiobooks & Ebooks,6,6,0,unchanged
US,app_store,books,top_grossing,com.tapasmedia.Tapastic,Tapas – Comics and Novels,7,7,0,unchanged
US,app_store,books,top_grossing,com.qvon.novellair,Novellair,8,8,0,unchanged
US,app_store,books,top_grossing,com.qvon.novelbar,NovelBar,9,9,0,unchanged
US,app_store,books,top_grossing,com.fivemobile.wattpad,Wattpad - Read & Write Stories,10,10,0,unchanged
US,app_store,books,top_grossing,com.webnovel.reader,WebNovel - Read Novels & Manga,11,11,0,unchanged
US,app_store,books,top_grossing,net.manta.comic,"Manta - Manhwa, Comics, Novels",,12,,new
US,app_store,books,top_grossing,com.kw.literie,Literie,13,13,0,unchanged
US,app_store,books,top_grossing,com.lmmobi.lereader,LeReader,14,14,0,unchanged
US,app_store,books,top_grossing,com.kw.metronovel,MetroNovel - Let Stories Shine,15,15,0,unchanged
US,app_store,books,top_grossing,org.reactjs.native.Inkitt.App.Colt,Galatea: Books & Audiobooks,16,16,0,unchanged
US,app_store,books,top_grossing,com.whaledream.novel,JoyRead-Enjoy Novels & Shorts,17,17,0,unchanged
US,app_store,books,top_grossing,com.marvel.unlimited,Marvel Unlimited,18,18,0,unchanged
US,app_store,books,top_grossing,com.changduhk.ereader,MoboReader: Top Novels & Books,19,19,0,unchanged
US,app_store,books,top_grossing,com.lezhin.comics,Lezhin Comics-Premium Webtoons,20,20,0,unchanged
US,google_play,books,top_grossing,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,books,top_grossing,com.einnovation.temu,Temu: Shop Like a Billionaire,2,2,0,unchanged
US,google_play,books,top_grossing,com.openai.chatgpt,ChatGPT,3,3,0,unchanged
US,google_play,books,top_grossing,com.tiktok.lite.go,TikTok Lite - Faster TikTok,4,4,0,unchanged
US,google_play,books,top_grossing,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,books,top_grossing,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,books,top_grossing,com.instagram.android,Instagram,7,7,0,unchanged
US,google_play,books,top_grossing,com.microsoft.copilot,​​Microsoft Copilot,8,8,0,unchanged
US,google_play,books,top_grossing,com.zzkko,SHEIN-Shopping Online,9,9,0,unchanged
US,google_play,books,top_grossing,com.lemon.lvoverseas,CapCut - Video Editor,10,10,0,unchanged
US,google_play,books,top_grossing,com.squareup.cash,Cash App,,11,,new
US,google_play,books,top_grossing,easy.launcher,Easy Homescreen,12,12,0,unchanged
US,google_play,books,top_grossing,com.whatnot_mobile,"Whatnot: Shop, Sell, Connect",,13,,new
US,google_play,books,top_grossing,com.tubitv,Tubi: Free Movies & Live TV,14,14,0,unchanged
US,google_play,books,top_grossing,com.wallpaper.edge.aura,EdgeAura,15,15,0,unchanged
US,google_play,books,top_grossing,com.facebook.katana,Facebook,,16,,new
US,google_play,books,top_grossing,com.twitter.android,X,17,17,0,unchanged
US,google_play,books,top_grossing,com.alibaba.aliexpresshd,AliExpress - Shopping App,18,18,0,unchanged
US,google_play,books,top_grossing,com.snapchat.android,Snapchat,19,19,0,unchanged
US,google_play,books,top_grossing,com.microsoft.office.word,Microsoft Word: Edit Documents,20,20,0,unchanged
GB,app_store,tools,top_free,uk.gov.onelogin,GOV.UK One Login,1,1,0,unchanged
GB,app_store,tools,top_free,com.anthropic.claude,Claude by Anthropic,2,2,0,unchanged
GB,app_store,tools,top_free,se.resenatverket.FlightRadar24-Free,Flightradar24 | Flight Tracker,3,3,0,unchanged
GB,app_store,tools,top_free,com.openai.chat,ChatGPT,,4,,new
GB,app_store,tools,top_free,com.bot.cici,Dola: Smart AI Assistant,5,5,0,unchanged
GB,app_store,tools,top_free,com.vanquis.app,Vanquis Credit Card,6,6,0,unchanged
GB,app_store,tools,top_free,com.whatnot,"Whatnot: Shop, Sell, Connect",,7,,new
GB,app_store,tools,top_free,com.burbn.barcelona,Threads,,8,,new
GB,app_store,tools,top_free,com.google.gemini,Google Gemini,9,9,0,unchanged
GB,app_store,tools,top_free,uk.gov.hmrc.TaxCalc,HMRC,10,10,0,unchanged
GB,app_store,tools,top_free,com.microsoft.azureauthenticator,Microsoft Authenticator,11,11,0,unchanged
GB,app_store,tools,top_free,com.avuscapital.trading212,Trading 212,12,12,0,unchanged
GB,app_store,tools,top_free,ai.x.GrokApp,Grok­,13,13,0,unchanged
GB,app_store,tools,top_free,lt.manodrabuziai.fr,Vinted: Shop & sell pre-loved,14,14,0,unchanged
GB,app_store,tools,top_free,io.b2a.BankProd,Monzo Bank - Mobile Banking,15,15,0,unchanged
GB,app_store,tools,top_free,com.google.GoogleMobile,Google - More ways to search,16,16,0,unchanged
GB,app_store,tools,top_free,com.jadedlabs.arrive,Shop: All your favorite brands,17,17,0,unchanged
GB,app_store,tools,top_free,com.lemon.lvoverseas,CapCut: Photo & Video Editor,18,18,0,unchanged
GB,app_store,tools,top_free,uk.gov.digital-identity,GOV.UK ID Check,19,19,0,unchanged
GB,app_store,tools,top_free,com.microsoft.skype.teams,Microsoft Teams,20,20,0,unchanged
GB,google_play,tools,top_free,uk.gov.onelogin,GOV.UK One Login,1,1,0,unchanged
GB,google_play,tools,top_free,uk.gov.documentchecking,GOV.UK ID Check,2,2,0,unchanged
GB,google_play,tools,top_free,ch.protonvpn.android,Proton VPN: Fast & Secure VPN,3,3,0,unchanged
GB,google_play,tools,top_free,com.gamma.scan,QR & Barcode Scanner,4,4,0,unchanged
GB,google_play,tools,top_free,com.nordvpn.android,NordVPN – private & secure VPN,5,5,0,unchanged
GB,google_play,tools,top_free,com.google.android.apps.authenticator2,Google Authenticator,6,6,0,unchanged
GB,google_play,tools,top_free,com.sec.android.easyMover,Samsung Smart Switch Mobile,,7,,new
GB,google_play,tools,top_free,com.smart.photorecovery.filerecover.videorecover,SmartRecovery - All Restore,8,8,0,unchanged
GB,google_play,tools,top_free,uk.co.ee.myee,"EE: Mobile, broadband & tech",,9,,new
GB,google_play,tools,top_free,com.scannerreader.qrcode.creatorfree,QR Scanner,10,10,0,unchanged
GB,google_play,tools,top_free,com.esaba.downloader,Downloader by AFTVnews,11,11,0,unchanged
GB,google_play,tools,top_free,com.surfshark.vpnclient.android,Surfshark: Fast & Secure VPN,12,12,0,unchanged
GB,google_play,tools,top_free,com.photoandpicture.recovery.pprestore,Photo Recover&Restore,13,13,0,unchanged
GB,google_play,tools,top_free,com.bskyb.skyservice,"My Sky | TV, Broadband, Mobile",,14,,new
GB,google_play,tools,top_free,com.google.android.apps.translate,Google Translate,15,15,0,unchanged
GB,google_play,tools,top_free,com.clean.forandroid.vidawe,Cleaner Launcher for Android,16,16,0,unchanged
GB,google_play,tools,top_free,com.amazon.storm.lightning.client.aosp,Amazon Fire TV,17,17,0,unchanged
GB,google_play,tools,top_free,pdfreader.pdfviewer.officetool.pdfscanner,PDF Reader App : Read All PDF,18,18,0,unchanged
GB,google_play,tools,top_free,com.open.web.ai.browser,Open Browser - Smart & Safe,19,19,0,unchanged
GB,google_play,tools,top_free,com.storage.androidcleaner,Cleanup: Phone Storage Cleaner,20,20,0,unchanged
GB,app_store,tools,top_paid,uk.co.focusmm.DTSComboiPhone,Driving Theory Test 4 in 1 Kit,1,1,0,unchanged
GB,app_store,tools,top_paid,com.tso.cartheorytestkit,Official DVSA Theory Test Kit,2,2,0,unchanged
GB,app_store,tools,top_paid,com.mojang.minecraftpe,"Minecraft: Dream it, Build it!",,3,,new
GB,app_store,tools,top_paid,com.robtop.geometryjump,Geometry Dash,4,4,0,unchanged
GB,app_store,tools,top_paid,com.citb.imagitech.GT100.19,CITB Op/Spec HS&E test,5,5,0,unchanged
GB,app_store,tools,top_paid,com.propagata.squeezy,Squeezy,6,6,0,unchanged
